1000	397346.57600000326	1297.476
2000	1460579.347999991	2372.7960000000007
3000	2564080.5720000095	2357.6040000000003
4000	3381032.0279999566	1833.292
5000	4330305.231999929	1705.7479999999996
6000	5367556.855999981	1988.748
7000	6387116.771999942	1955.2759999999996
8000	7462181.495999988	2053.3120000000004
9000	8451284.579999944	1958.74
10000	9527969.90800002	2142.3759999999997
1000	665009.2240000035	1676.0040000000001
2000	1719242.9399999992	2119.0959999999995
3000	2876446.299999992	2168.604
4000	3907658.2120000552	1946.7039999999997
5000	5136045.8159999605	2225.312
6000	6263047.959999977	2193.2760000000003
7000	7254354.159999945	1925.5400000000002
8000	8182904.183999898	1949.1239999999991
9000	9227576.515999777	2176.612
10000	10407255.263999766	2184.968
1000	559098.8640000004	1407.7959999999998
2000	1549508.2679999915	1975.576
3000	2590127.8400000273	2054.148
4000	3550676.0320000537	1903.515999999999
5000	4361931.872000054	1729.6119999999999
6000	5380886.024000105	2017.268
7000	6236173.076000032	1876.396
8000	7281048.952000086	2410.868
9000	8421927.23600002	2206.904
10000	9594573.192000035	2167.8399999999992
