100	0	0
200	14.256	1.584
300	23001.124000000007	746.6840000000002
400	75102.52800000002	1114.4960000000003
500	149924.63599999997	1305.2039999999984
600	207818.644	1246.2720000000002
700	274247.064	1322.7999999999988
800	338597.696	1323.1079999999995
900	397768.8239999999	1156.5639999999996
1000	465208.9839999999	1269.2439999999992
1100	537398.1959999998	1337.727999999999
1200	602796.459999999	1267.3439999999991
1300	669907.1159999992	1208.5839999999996
1400	728395.203999999	1141.3080000000002
1500	795600.1079999984	1351.3839999999987
1600	854093.2319999987	1152.5279999999993
1700	917421.9839999982	1239.0639999999996
1800	989274.6199999981	1460.9719999999984
1900	1046682.0759999979	1109.3400000000001
2000	1090636.9359999974	931.4760000000003
2100	1150693.5599999966	1244.1759999999992
2200	1200090.8639999959	1026.5280000000002
2300	1260309.063999995	1200.0999999999995
2400	1324783.0559999947	1272.7199999999996
2500	1371292.595999995	919.1040000000004
2600	1429252.5719999948	1196.1719999999998
2700	1493107.943999996	1307.0799999999997
2800	1553499.307999995	1093.376
2900	1614848.5279999962	1193.2999999999993
3000	1678455.3239999963	1312.3239999999996
3100	1754075.9599999962	1411.9999999999986
3200	1818923.7399999981	1209.9999999999995
3300	1883480.112	1292.6079999999997
3400	1942776.6719999989	1187.1279999999997
3500	2006556.267999998	1294.3359999999993
3600	2068095.9239999985	1175.164
3700	2136540.6199999982	1313.7399999999986
3800	2185060.9639999997	950.1760000000005
3900	2239969.1759999976	1185.728
4000	2296715.907999999	1199.3759999999997
4100	2344002.791999998	1105.1560000000002
4200	2394527.727999997	1124.7279999999998
4300	2446965.2759999954	1089.1840000000002
4400	2507506.9959999933	1140.2119999999998
4500	2565706.011999991	1217.9
4600	2620475.419999992	1134.5199999999998
4700	2683170.4159999895	1233.3519999999994
4800	2755648.0439999904	1358.5479999999986
4900	2809131.915999989	1086.2839999999999
5000	2865589.49199999	1091.3120000000001
